id;title;message;trigger_type;notify;category;date_created;date_updated
1;Licensed Cotton Bike Borders deploy;models Dominican Republic;SCHEDULE;true;ERROR;2020-11-30T03:14:45;2020-11-30T06:58:25
2;frame Algerian Dinar Handcrafted Frozen Bike;Regional Developer;SCHEDULE;true;ERROR;2020-11-30T06:10:42;2020-11-29T23:53:41
3;Object-based;parse strategize;IMMEDIATE;true;INFO;2020-11-30T06:07:09;2020-11-30T05:57:16
4;Gloves;transmit Awesome paradigms;IMMEDIATE;false;WARNING;2020-11-30T08:41:22;2020-11-30T12:58:58
5;bus;Outdoors;IMMEDIATE;false;WARNING;2020-11-30T01:59:32;2020-11-30T05:40:44
6;array;Keyboard;SCHEDULE;true;WARNING;2020-11-29T22:04:52;2020-11-30T15:22:09
7;bypassing Ergonomic Metal Car;Fantastic;IMMEDIATE;true;INFO;2020-11-30T01:22:38;2020-11-30T07:33:03
8;partnerships Haiti well-modulated;Junction;SCHEDULE;false;INFO;2020-11-30T08:38:39;2020-11-30T16:09:01
9;payment South Georgia and the South Sandwich Islands Garden;Panama digital Bedfordshire;IMMEDIATE;false;INFO;2020-11-30T15:45:46;2020-11-29T22:34:57
10;Enterprise-wide;Health digital Sleek;IMMEDIATE;false;ERROR;2020-11-30T00:24:13;2020-11-30T07:33:52
