id;subject;message;email_status;web_socket_status;sms_status;web_sockect_read;retry_attempts;error_log;receipient_email;user_id
1;Function-based;United States of America Bacon Cambridgeshire;false;false;false;true;99566;Principal Front-line incremental;Personal Loan Account;58836
2;Switchable PCI Home Loan Account;Djibouti Franc;true;false;true;false;60563;Fiji withdrawal paradigm;Hat;18204
3;Unbranded;Research Directives web services;true;false;false;false;56145;end-to-end Glen;Bahraini Dinar navigate;79930
4;Grocery Intelligent Wooden Keyboard;JSON;false;false;false;true;39314;Lead Bacon;program;60079
5;Pennsylvania Home Loan Account;haptic;false;true;false;false;63623;Awesome Plastic Bacon;virtual;62159
6;Soft XML collaboration;Tuna synthesize 5th generation;false;false;false;true;17901;Moldova SAS Intelligent Wooden Shoes;Incredible;42421
7;Generic Cotton Ball;CFA Franc BCEAO Electronics hack;true;true;true;false;79248;Zimbabwe Dollar alarm Consultant;bandwidth Steel;68666
8;monitor;payment architectures utilize;true;true;true;true;67044;plum context-sensitive lavender;interface SAS violet;72878
9;Automotive Supervisor;Agent transmitting Sleek Soft Table;false;true;false;false;39169;revolutionize;Shirt;89578
10;haptic;Graphic Interface process improvement;true;false;true;true;18433;navigating monetize;context-sensitive invoice;55355
