id;status;date_created;date_updated;target_url
1;ACTIVE;2020-12-08T22:20:02;2020-12-09T12:50:25;parsing
2;ACTIVE;2020-12-09T05:22:47;2020-12-09T02:36:55;bandwidth
3;RESOLVED;2020-12-09T04:35:28;2020-12-09T12:58:44;Tonga
4;ACTIVE;2020-12-08T19:43:26;2020-12-09T03:25:07;withdrawal
5;INACTIVE;2020-12-09T07:09:07;2020-12-09T09:40:31;backing up Regional Ball
6;ACTIVE;2020-12-09T00:11:56;2020-12-09T15:52:32;International Accounts
7;ACTIVE;2020-12-08T23:40:49;2020-12-09T11:20:49;Kansas e-services
8;RESOLVED;2020-12-09T11:09:37;2020-12-09T17:07:48;collaborative Wooden Liberia
9;INACTIVE;2020-12-09T08:13:03;2020-12-09T14:17:29;interactive
10;RESOLVED;2020-12-09T02:48:23;2020-12-08T22:55:35;wireless Associate action-items
